N,Observed_Gain,Drift_Model
1031130,1207,2299.886552036658
2089379,1860,2407.4242000101463
3001134,1612,2462.0152607134182
4007342,779,2505.327770747358
5107832,601,2541.4835383604877
6086767,457,2567.499664749341
7056480,445,2589.360581641133
8018617,252,2608.2081447245782
9080229,1172,2626.492940161396
10030385,1006,2641.0936970769853
11078937,736,2655.6497092014865
12018436,923,2667.5427599409086
13057898,857,2679.641391335018
14092715,1069,2690.745395230633
15020367,1508,2700.012824718992
16047298,1581,2709.613053029685
17071133,1734,2718.57847536899
18091001,1340,2726.9785011348795
19006677,1411,2734.1177023395926
20020806,1963,2741.625118371499
21033181,1366,2748.7412875783693
22042405,1953,2755.494858581949
23048964,2085,2761.922661057858
24053735,1921,2768.0588399135945
25055922,1228,2773.923420607158
26056252,1581,2779.5425561805605
27053463,1515,2784.928660203928
28049753,1740,2790.1106453106063
29044474,1664,2795.0998933772034
30036731,1764,2799.9055401756996
31027749,1681,2804.5456958042914
32017199,1768,2809.02960160301
33004401,1738,2813.3641576716614
34088991,2078,2817.9759170493053
35073432,2513,2822.0336255651737
36056729,2744,2825.9718730178683
37037878,2931,2829.7934292651594
38017983,2678,2833.5088215388687
39094574,2168,2837.478608592991
40071843,2320,2840.986424041907
41048835,3398,2844.406765850689
42024136,3895,2847.739044454681
43095410,3413,2851.309173381492
44067840,3491,2854.4720741564306
45039361,3048,2857.5614393652236
46009215,2880,2860.5781747370524
47076514,2411,2863.8236499603427
48044242,3497,2866.7018607057776
49012057,3194,2869.5215500307922
50074984,2526,2872.5533741001004
51040412,3029,2875.2505123627875
52005085,3143,2877.8938457218856
53065074,3384,2880.7410563385138
54027276,3270,2883.2756061288555
55085799,3367,2886.011005363757
56046771,3923,2888.4480830037432
57006357,3711,2890.8393006427423
58060275,3553,2893.418526883097
59019102,3438,2895.723707126215
60071872,3593,2898.21095983523
61028405,3315,2900.4324239283424
62079468,3193,2902.8326570577738
63034806,3319,2904.9784395542
64084676,3454,2907.2984516165507
65037966,3795,2909.3715498845445
66086040,4044,2911.6151394950916
67038476,4081,2913.622599689823
68085138,4233,2915.795228215079
69035407,3826,2917.7383258718805
70080340,3678,2919.8435986826566
71029474,3744,2921.728164798627
72072759,3799,2923.770125802913
73021132,3845,2925.6002055544163
74063124,3950,2927.5830648574297
75010594,4171,2929.3613898858016
76051115,4177,2931.288030402043
77091082,4233,2933.1868352026136
78035499,4067,2934.8885706336546
79074491,4171,2936.736501735567
80017714,4474,2938.3926726724794
81055478,4865,2940.1918800078597
82091453,4567,2941.9645856927345
83033297,4057,2943.5564294840424
84069054,3341,2945.2857673728918
85010165,2940,2946.838245594288
86044101,2518,2948.5236668277407
87077807,2638,2950.188083518274
88016988,2651,2951.682831364729
89050014,2419,2953.3081685411994
90081512,1472,2954.911926676768
91019234,1803,2956.3536281513834
92049434,2568,2957.920057946766
93079603,2076,2959.468568352313
94015751,2394,2960.8605852275787
95044616,1172,2962.374169009511
96073481,1237,2963.8710445714755
97008033,1622,2965.216527769744
98035769,1876,2966.6809081898245
99063644,1697,2968.1298252640654
100089871,1628,2969.5611206347426
101022313,1197,2970.8486234284105
102047855,1207,2972.2506794298097
103073073,1219,2973.6379234120745
104004808,1252,2974.8864542656656
105028517,1455,2976.245073719336
106052131,1697,2977.5900552538264
107075254,1998,2978.921152552303
108004655,1798,2980.119057686436
109026907,1965,2981.424489559655
110048836,1866,2982.7170209879
111071324,1639,2983.997997005658
112092103,2192,2985.2648236556524
113019614,1173,2986.4056823942133
114039346,905,2987.648944301888
115058254,87,2988.879864051987
116077694,241,2990.1002871270034
117003336,229,2991.1989338560043
118021720,75,2992.3974029311107
119039770,424,2993.5849227202843
120056675,636,2994.760751760317
121073838,781,2995.9267026731086
122090505,781,2997.0820868939168
123014748,995,2998.12390380611
124030894,1158,2999.260087614348
125046997,1174,3000.3867145046893
126062167,1796,3001.5029668513066
127076613,2168,3002.609248721661
128090172,2257,3003.7055515929355
129011479,1888,3004.694377011979
130024920,1699,3005.773755255504
131038645,1946,3006.844835301235
132050748,1793,3007.905754093154
133062756,1418,3008.9582642602954
134074874,15,3010.002706268224
135086340,101,3011.0384247616657
136005953,-609,3011.973205200197
137016909,-841,3012.9933808800515
138027607,-627,3014.00560480369
139038100,-280,3015.010048869619
140047755,-107,3016.006206442332
141057123,-378,3016.9947419150144
142066455,39,3017.9760105375112
143075092,99,3018.9494829844352
144083455,108,3019.9156770262857
145090977,200,3020.874159863238
146007376,221,3021.740042125134
147016013,157,3022.68665395654
148025639,575,3023.6275429689304
149034586,540,3024.561243076718
150000000,576,3025.448603638355
