N,Gain_Dual,Gain_Relay
1031130,1207,1207
2089379,1860,1860
3001134,1612,1612
4007342,779,779
5107832,601,601
6086767,457,457
7056480,445,445
8018617,252,252
9080229,1172,1172
10030385,1006,1006
11078937,736,736
12018436,923,923
13057898,857,857
14092715,1069,1069
15020367,1508,1508
16047298,1581,1581
17071133,1734,1734
18091001,1340,1340
19006677,1411,1411
20020806,1963,1963
21033181,1366,1366
22042405,1953,1953
23048964,2085,2085
24053735,1921,1921
25055922,1228,1228
26056252,1581,1581
27053463,1515,1515
28049753,1740,1740
29044474,1664,1664
30036731,1764,1764
31027749,1681,1681
32017199,1768,1768
33004401,1738,1738
34088991,2078,2078
35073432,2513,2513
36056729,2744,2744
37037878,2931,2931
38017983,2678,2678
39094574,2168,2168
40071843,2320,2320
41048835,3398,3398
42024136,3895,3895
43095410,3413,3413
44067840,3491,3491
45039361,3048,3048
46009215,2880,2880
47076514,2411,2411
48044242,3497,3497
49012057,3194,3194
50074984,2526,2526
51040412,3029,3029
52005085,3143,3143
53065074,3384,3384
54027276,3270,3270
55085799,3367,3367
56046771,3923,3923
57006357,3711,3711
58060275,3553,3553
59019102,3438,3438
60071872,3593,3593
61028405,3315,3315
62079468,3193,3193
63034806,3319,3319
64084676,3454,3454
65037966,3795,3795
66086040,4044,4044
67038476,4081,4081
68085138,4233,4233
69035407,3826,3826
70080340,3678,3678
71029474,3744,3744
72072759,3799,3799
73021132,3845,3845
74063124,3950,3950
75010594,4171,4171
76051115,4177,4177
77091082,4233,4233
78035499,4067,4067
79074491,4171,4171
80017714,4474,4474
81055478,4865,4610
82091453,4567,5794
83033297,4057,6084
84069054,3341,6448
85010165,2940,5766
86044101,2518,5521
87077807,2638,5519
88016988,2651,5820
89050014,2419,5507
90081512,1472,4445
91019234,1803,3976
92049434,2568,3615
93079603,2076,4212
94015751,2394,4070
95044616,1172,4435
96073481,1237,4377
97008033,1622,4358
98035769,1876,4168
99063644,1697,3813
100089871,1628,3594
101022313,1197,4087
102047855,1207,3310
103073073,1219,3685
104004808,1252,2752
105028517,1455,2744
106052131,1697,2816
107075254,1998,2880
108004655,1798,2672
109026907,1965,2340
110048836,1866,2000
111071324,1639,2271
112092103,2192,1800
113019614,1173,1902
114039346,905,2421
115058254,87,2177
116077694,241,2051
117003336,229,1913
118021720,75,1948
119039770,424,1939
120056675,636,2278
121073838,781,2426
122090505,781,2412
123014748,995,2280
124030894,1158,2035
125046997,1174,1868
126062167,1796,2009
127076613,2168,2042
128090172,2257,1888
129011479,1888,1969
130024920,1699,2007
131038645,1946,1975
132050748,1793,1953
133062756,1418,1919
134074874,15,1981
135086340,101,1734
136005953,-609,1689
137016909,-841,1545
138027607,-627,1847
139038100,-280,1927
140047755,-107,1631
141057123,-378,1606
142066455,39,1323
143075092,99,1579
144083455,108,1487
145090977,200,1844
146007376,221,1789
147016013,157,1844
148025639,575,1946
149034586,540,1846
150000000,576,1896
